Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3",0603,3,220pF,
"C10, C22",0603,2,1uF,
"C11, C12, C13, C16, C17, C18, C19, C20, C23, C24, C25, C27, C28, C29, C30, C31, C32",0603,17,0.1uF,
"C14, C15",0603,2,18pF,
"C21, C26, C7, C8, C9",0603,5,10uF,
"C4, C5, C6",0805,3,10uF,
Card2,TF-SMD_MR01A-01211,1,MR01A-01211,
D1,0603,1,LED-B,
"D2, D9",0603,2,LED-G,
"D3, D4, D5, D6, D7, D8",0603,6,LED-R,
"J1, J2",PinHeader_1x03_P1.27mm_Vertical,2,Conn_01x03_Pin,
"L1, L2, L3",L_Changjiang_FNR3015S,3,2.2uH,
"LED1, LED2, LED3, LED4, LED5, LED6, LED7, LED8",LED-SMD_4P-L2.0-W2.0-TL_WS2812B-2020,8,WS2812B-2020,
R1,0603,1,130kΩ,
"R10, R11, R12, R13, R14, R19, R20, R25, R26, R8, R9",0603,11,2kΩ,
"R15, R16, R17, R18",0603,4,47kΩ,
R2,0603,1,470kΩ,
"R21, R22, R23, R24",0603,4,5.1kΩ,
"R27, R28, R29, R7",0603,4,10kΩ,
R3,0603,1,680kΩ,
"R4, R5, R6",0603,3,150kΩ,
"SW1, SW2, SW3",SW-SMD_D-SWITCH_DS-THAM04-ABB-R,3,DS-THAM04-ABB-R,
U1,QFN-88_L10.0-W10.0-P0.40-BL-EP6.75,1,F1C200S,
U2,WQFN-20_L3.0-W3.0-P0.40-BL-EP,1,EA3036C,
U3,SOT-23-3_L3.0-W1.7-P0.95-LS2.9-BR,1,XC6206P302MR_C347375,
U4,MSOP-10_3x3mm_P0.5mm,1,CH340E,
U5,SOIC-8_L5.3-W5.3-P1.27-LS8.0-BL,1,W25Q128JVSIQTR,
U6,mpcie-full-card,1,MPCIE-Socket,
"USB1, USB2",USB-C-SMD_TYPE-C-6PIN-2MD-073,2,TYPE-C_16PIN_2MD(073),
X1,CRYSTAL-SMD_4P-L3.2-W2.5-BL,1,SMD-3225_4P_24.000MHZ_18PF,
